I calc,,I obs,,I obs minus I calc,,Ce3PtIn11,,In,
X,Y,X,Y,X,Y,X,Y,X,Y
5.293585924171822,720.2503269194847,5.278435566419677,807.5845320381095,5.278435566419677,-446.4552587334206,5.460239859445421,-95.13356996076936,33.09449239935834,-195.17093218755826
5.4450895016932765,711.516906407622,5.278435566419677,798.057164206987,5.384488070684693,-435.7369699234073,10.732564357191965,-95.13356996076936,36.548773966847456,-195.17093218755826
5.566292363710437,686.1105921912947,5.278435566419677,788.5297963758642,5.384488070684693,-454.79170558565283,16.004888854938507,-96.32449093965988,39.32128943549003,-195.32972165141018
5.7177959412318895,672.613487763871,5.278435566419677,779.0024285447414,5.323886639676113,-461.93723145899503,19.095561836376138,-95.13356996076936,54.63830112290887,-197.55277414533884
5.83899880324905,649.5890155053241,5.278435566419677,769.4750607136186,5.414788786188984,-411.9185503456006,19.82277900847911,-95.13356996076936,56.68359941944848,-195.17093218755826
5.990502380770504,635.29796375864,5.278435566419677,759.9476928824959,5.414788786188984,-421.44591817672335,21.277213352685052,-96.32449093965988,63.36490718814453,-199.93461610311942
6.111705242787664,609.8916495423127,5.232984493163242,712.3108537268822,5.566292363710437,-469.08275733233677,21.82262623176228,-96.32449093965988,67.1373462684287,-195.17093218755826
6.263208820309119,588.4550719222866,5.278435566419677,700.4016439379789,5.551142005958292,-480.9919671212401,24.91329921319991,-95.13356996076936,69.1826445649683,-196.36185316644878
6.384411682326279,561.4608630674388,5.278435566419677,690.8742761068561,5.551142005958292,-490.5193349523629,26.640439996944465,-95.13356996076936,77.27293560461386,-195.17093218755826
6.551065617599878,552.7274425555763,5.278435566419677,681.3469082757333,5.505690932701857,-497.6648608257051,27.00404858299595,-96.32449093965988,,
6.73286991062562,536.0545488511116,5.278435566419677,671.8195404446105,5.505690932701857,-504.8103866990473,27.549461462073182,-95.13356996076936,,
6.9298245614035086,517.7937605081265,5.278435566419677,659.9103306557072,5.748096656736179,-458.76144218195395,28.64028722022764,-95.13356996076936,,
7.096478496677106,506.2815243788532,5.278435566419677,650.3829628245844,5.732946298984034,-470.2736783112273,29.049346879535562,-95.13356996076936,,
7.293433147454994,479.6842891836354,5.278435566419677,642.0465159723522,5.687495225727599,-476.22828320567896,31.458253762126652,-95.13356996076936,,
7.444936724976447,465.3932374369515,5.369337712932548,753.9930879880442,5.687495225727599,-490.5193349523629,32.049117714460316,-95.13356996076936,,
7.641891375754335,456.26284326545874,5.460239859445421,800.4390061647675,5.823848445496907,-435.7369699234073,32.86723703307616,-95.13356996076936,,
7.823695668780077,441.9717915187746,5.460239859445421,790.9116383336448,5.823848445496907,-445.26433775453006,34.54892674356428,-96.32449093965988,,
8.005499961805821,431.2535027087615,5.460239859445421,781.384270502522,5.914750592009778,-416.68223426116174,37.457795431976166,-96.32449093965988,,
8.187304254831563,416.96245096207736,5.460239859445421,771.8569026713992,5.914750592009778,-426.2096020922845,37.59414865174548,-95.13356996076936,,
8.369108547857307,407.4350831309548,5.460239859445421,762.3295348402767,5.869299518753342,-454.79170558565283,38.18501260407914,-96.32449093965988,,
8.550912840883049,395.5258733420512,5.475390217197564,745.6566411358117,5.960201665266213,-407.15486643003896,38.45771904361776,-95.13356996076936,,
8.732717133908793,387.18942648981897,5.414788786188984,738.5111152624697,6.005652738522649,-435.7369699234073,38.82132762966924,-95.13356996076936,,
8.914521426934535,378.8529796375865,5.414788786188984,688.4924341490755,6.005652738522649,-444.07341677563954,40.00305553433657,-95.13356996076936,,
9.096325719960278,363.37100691201204,5.460239859445421,676.5832243601719,6.051103811779084,-416.68223426116174,41.821098464593994,-95.13356996076936,,
9.27813001298602,352.65271810199897,5.460239859445421,667.0558565290492,6.051103811779084,-426.2096020922845,42.27560919715835,-95.13356996076936,,
9.459934306011764,341.9344292919859,5.460239859445421,657.5284886979266,6.142005958291955,-450.0280216700912,42.411962416927665,-97.5154119185504,,
9.641738599037506,331.21614048197284,5.460239859445421,648.0011208668038,6.1874570315483925,-459.555389501214,43.093728515774195,-96.32449093965988,,
9.823542892063248,321.68877265085007,5.460239859445421,638.473753035681,6.1874570315483925,-469.08275733233677,43.23008173554351,-95.13356996076936,,
10.005347185088993,312.1614048197273,5.460239859445421,631.3282271623391,6.1874570315483925,-477.4192041845695,43.548239248338554,-96.32449093965988,,
10.187151478114735,305.0158789463853,5.566292363710437,731.3655893891278,6.1874570315483925,-489.32841397347283,44.27545642044153,-96.32449093965988,,
10.384106128892622,305.0158789463853,5.642044152471163,781.384270502522,6.142005958291955,-495.2830188679245,44.54816285998014,-96.32449093965988,,
10.565910421918364,335.97982439753423,5.642044152471163,771.8569026713992,6.3692613245741345,-445.26433775453006,46.2753036437247,-96.32449093965988,,
10.55076006416622,306.2067999252756,5.642044152471163,762.3295348402767,6.323810251317699,-454.79170558565283,46.729814376289056,-95.13356996076936,,
10.732564357191965,355.0345600597798,5.596593079214728,755.1840089669345,6.323810251317699,-461.93723145899503,47.27522725536628,-95.13356996076936,,
10.71741399943982,320.10087801232976,5.596593079214728,745.6566411358117,6.41471239783057,-416.68223426116174,47.457031548392024,-96.32449093965988,,
