temperature	asymmetry	asymmetry_errorbar	asymmetry_fit
0.0	0.23661667529757704	0.0018302013425105202	0.2373878936095664	
3.9215686274509804e-08	0.237781188932274	0.0018436498117527797	0.2369802328584572	
7.843137254901961e-08	0.23754906907021886	0.0018568973183542955	0.23686824316546173	
1.1764705882352942e-07	0.2356975197755828	0.0018740863347231614	0.23696126148556684	
1.5686274509803921e-07	0.2365928228271946	0.0018901840987966105	0.2371521069421036	
1.96078431372549e-07	0.23725814837467468	0.0019058874218382906	0.2373438645710688	
2.3529411764705883e-07	0.23749057258712603	0.001919061881490905	0.23746609206656422	
2.7450980392156863e-07	0.23606995428023658	0.0019404480541667917	0.23748056216482352	
3.1372549019607843e-07	0.23740509273045177	0.0019574015918506008	0.2373787174097535	
3.529411764705882e-07	0.2351297071552674	0.0019735890401927423	0.23717398466051043	
3.92156862745098e-07	0.23707127753638718	0.001993525892546922	0.23689212692705847	
4.313725490196078e-07	0.23850041084850468	0.002009156223162673	0.2365621930595983	
4.7058823529411767e-07	0.23490994120191228	0.002028923194984664	0.2362096912272873	
5.098039215686274e-07	0.2338979499781294	0.0020486291647340755	0.2358526485704146	
5.490196078431373e-07	0.23694828753040936	0.0020657053054059784	0.2355004294752418	
5.88235294117647e-07	0.23512934927663828	0.0020861005101601195	0.2351546718910953	
6.274509803921569e-07	0.2346541091251797	0.002099650611620399	0.23481147984519724	
6.666666666666667e-07	0.23255053170770662	0.002121759971428303	0.23446403239375513	
7.058823529411765e-07	0.2342366840306396	0.002140053390826253	0.23410495282874966	
7.450980392156863e-07	0.2372898195207604	0.0021580748533814383	0.23372803881947044	
7.84313725490196e-07	0.2367749619648962	0.0021738249829494844	0.23332920944723184	
8.235294117647058e-07	0.23112639965484355	0.00219565798794824	0.2329067280643652	
8.627450980392156e-07	0.2339942112216174	0.002214895836928576	0.23246088648282323	
9.019607843137255e-07	0.23259285066445423	0.002238825428041371	0.23199338507781037	
9.411764705882353e-07	0.23084887345292934	0.0022591132648990386	0.23150662978204914	
9.80392156862745e-07	0.22929668169620118	0.002280224710978607	0.23100311332165224	
1.0196078431372548e-06	0.2330312579058693	0.0022968121401918226	0.23048497789652056	
1.0588235294117646e-06	0.23640443497117178	0.0023185784082490647	0.22995378917059558	
1.0980392156862745e-06	0.2310913799152102	0.0023471320415053396	0.22941049952925316	
1.1372549019607845e-06	0.23084330409989268	0.0023568241463557443	0.22885554759075988	
1.176470588235294e-06	0.22499905880633594	0.0023887840065080672	0.22828903048009277	
1.215686274509804e-06	0.2268276688228405	0.002411462037270775	0.2277108909702243	
1.2549019607843137e-06	0.22633792449460938	0.002432023855874191	0.2271210770308827	
1.2941176470588235e-06	0.22642515286757994	0.002448018265712256	0.22651965037051036	
1.3333333333333334e-06	0.22548525256353877	0.0024678729096180253	0.22590683824287006	
1.3725490196078432e-06	0.22760794698925157	0.0024860917065332457	0.22528303599901472	
1.411764705882353e-06	0.22502144286154976	0.0025176346748557264	0.22464877537143893	
1.4509803921568629e-06	0.2201865174206503	0.0025419374378117475	0.22400467558824314	
1.4901960784313726e-06	0.22046827624238827	0.002565054917035697	0.2233513924237845	
1.5294117647058821e-06	0.22302537541978468	0.002584251948260892	0.2226895759032982	
1.568627450980392e-06	0.22124419540122311	0.0026077969204953916	0.22201984223587895	
1.607843137254902e-06	0.21230324502712428	0.0026384978306906192	0.22134276092502364	
1.6470588235294116e-06	0.22178704958499185	0.002653047314539078	0.22065885466205093	
1.6862745098039217e-06	0.22291718085354537	0.002677993462058842	0.21996860780853145	
1.7254901960784313e-06	0.21803721131082188	0.002710435525330013	0.2192724788890027	
1.7647058823529412e-06	0.22269827387185825	0.0027276763867400593	0.21857091317197277	
1.803921568627451e-06	0.22090013405770428	0.0027495993500155354	0.21786435265236043	
1.8431372549019605e-06	0.21485156365578945	0.0027836942045280123	0.21715324213017734	
1.8823529411764707e-06	0.21532293704837824	0.0028104168018768974	0.21643803128452943	
1.9215686274509804e-06	0.2153969926137074	0.002831614577830448	0.21571917348364056	
1.96078431372549e-06	0.21496054396220132	0.0028532580756284605	0.21499712249703593	
2e-06	0.21122687146437977	0.002891173394710655	0.2142723283322753	
2.0392156862745097e-06	0.2129213046982269	0.002912376903838618	0.21354523321183183	
2.07843137254902e-06	0.211744177002726	0.0029360564475367865	0.21281626836103998	
2.117647058823529e-06	0.21043873531036308	0.0029687126832830474	0.21208585190849083	
2.156862745098039e-06	0.21121575585171956	0.0029835177203573304	0.2113543878878862	
2.196078431372549e-06	0.212075856924051	0.003021395511832041	0.21062226611965204	
2.235294117647059e-06	0.21536381278466515	0.003044528569441689	0.20988986265147275	
2.274509803921569e-06	0.21089730947202065	0.0030713561889408798	0.20915754043372642	
2.3137254901960787e-06	0.21204265375130074	0.0031043847484390876	0.2084256499686628	
2.352941176470588e-06	0.20348277619006894	0.0031359047246842394	0.20769452976742456	
2.3921568627450978e-06	0.20559095884884623	0.0031498642583011644	0.20696450654722834	
2.431372549019608e-06	0.20781908540648883	0.0031944841447205797	0.20623589518152036	
2.4705882352941177e-06	0.2037214135336659	0.0032225950491808096	0.20550899846816756	
2.5098039215686274e-06	0.19967885874020738	0.0032537496480238297	0.20478410680322634	
2.549019607843137e-06	0.20735632151079575	0.0032676527200549824	0.2040614978454802	
2.588235294117647e-06	0.20253814463305064	0.0033151103956968408	0.2033414362381188	
2.6274509803921567e-06	0.2020652535095084	0.003340147976122143	0.20262417342763378	
2.666666666666667e-06	0.21050590422521645	0.0033595782669629377	0.20190994759388126	
