temperature	asymmetry	asymmetry_errorbar	asymmetry_fit
0.0	0.23500696044935956	0.0018503342215529938	0.23502639510769044	
3.9215686274509804e-08	0.2301383903775471	0.0018669753168764696	0.23358222818639107	
7.843137254901961e-08	0.23438881639482378	0.0018814003282087298	0.23157593090902784	
1.1764705882352942e-07	0.22995634063874693	0.0018997582190654796	0.22923051804080452	
1.5686274509803921e-07	0.22850958313560998	0.0019127924283651202	0.22680298645585323	
1.96078431372549e-07	0.22591573604463958	0.00193564186010961	0.22454177009355147	
2.3529411764705883e-07	0.221687313403558	0.0019538652281593516	0.22264927174031865	
2.7450980392156863e-07	0.2220864968461959	0.0019716057211589676	0.22125477010676237	
3.1372549019607843e-07	0.21535975133493576	0.001989305076927777	0.22040094272726315	
3.529411764705882e-07	0.22104870451294584	0.002006585048451799	0.22004487158169903	
3.92156862745098e-07	0.22298957647038445	0.002022497620631162	0.22007210085692475	
4.313725490196078e-07	0.22106064849649862	0.0020405629484126337	0.22032044056488043	
4.7058823529411767e-07	0.22158292070701438	0.002064375324960962	0.22060900631921615	
5.098039215686274e-07	0.21763169897329693	0.0020805058714684554	0.22076757977844444	
5.490196078431373e-07	0.22156185434066208	0.0020973333009415055	0.22066175806177019	
5.88235294117647e-07	0.21966809351768596	0.002116322468669873	0.22021040541970524	
6.274509803921569e-07	0.21982747898399269	0.0021410856264543004	0.219393408094444	
6.666666666666667e-07	0.21917953455516423	0.002154899708625299	0.21824939649226216	
7.058823529411765e-07	0.21482906216085737	0.002177641922892363	0.216864666981812	
7.450980392156863e-07	0.2149275501765932	0.0021997112307502406	0.21535577669749362	
7.84313725490196e-07	0.21529619312598208	0.0022123926896198253	0.21384903715204956	
8.235294117647058e-07	0.21125991885562306	0.002234064194510355	0.21246032389900482	
8.627450980392156e-07	0.2092930641706483	0.0022525836543949842	0.21127826999206603	
9.019607843137255e-07	0.20830061848094494	0.002276736089200562	0.21035312181401258	
9.411764705882353e-07	0.20825884221824448	0.002298426372870049	0.2096924667516373	
9.80392156862745e-07	0.20825923756757903	0.0023201960175128736	0.20926388179132882	
1.0196078431372548e-06	0.2076687667143633	0.002340944903259326	0.2090034864049963	
1.0588235294117646e-06	0.21105772623212452	0.0023570074768395656	0.20882856718350157	
1.0980392156862745e-06	0.20554942470757032	0.0023856246184936333	0.20865197867923924	
1.1372549019607845e-06	0.20546905637627572	0.0024029939354066644	0.20839595475781963	
1.176470588235294e-06	0.20732511938539094	0.0024251809030035897	0.20800326358625892	
1.215686274509804e-06	0.21142722812388975	0.0024390757838687774	0.20744422886899283	
1.2549019607843137e-06	0.2050822431476867	0.002471011053005809	0.20671890407574786	
1.2941176470588235e-06	0.20679181960887721	0.0024943979658346967	0.2058544926139693	
1.3333333333333334e-06	0.20755326678180436	0.0025179605442129686	0.20489882783574304	
1.3725490196078432e-06	0.20570496213449713	0.002534360629048758	0.2039112593828461	
1.411764705882353e-06	0.20595858344947537	0.0025633549956115545	0.20295257157081892	
1.4509803921568629e-06	0.20681235494848518	0.0025850110570096126	0.20207556479900934	
1.4901960784313726e-06	0.20494258034037077	0.0026070972126505305	0.20131768566616903	
1.5294117647058821e-06	0.20482248837515374	0.0026290140638027615	0.20069665526530286	
1.568627450980392e-06	0.19832585805042818	0.002656637621191426	0.20020950173978236	
1.607843137254902e-06	0.20156921850854773	0.0026818017237716075	0.1998348453818133	
1.6470588235294116e-06	0.200142708253448	0.0027015422265919296	0.1995377991579164	
1.6862745098039217e-06	0.1995083541127158	0.0027244145350519898	0.19927650261647561	
1.7254901960784313e-06	0.2006931553471118	0.0027540052035006364	0.1990091431942915	
1.7647058823529412e-06	0.20177273291689282	0.0027709385687786146	0.19870034519035007	
1.803921568627451e-06	0.1974798300181146	0.0028115706194157693	0.19832600233576195	
1.8431372549019605e-06	0.19896094956683263	0.002823477951896735	0.19787595002890085	
1.8823529411764707e-06	0.19628567456908605	0.0028480251188996377	0.19735425786167438	
1.9215686274509804e-06	0.19294564879461526	0.002886258087629899	0.19677730738599433	
1.96078431372549e-06	0.19516252596473563	0.0029061838912325753	0.19617014523918805	
2e-06	0.19152617951918177	0.0029242064521037966	0.19556182310565476	
2.0392156862745097e-06	0.1921489693945567	0.0029670134190063584	0.19498052873631033	
2.07843137254902e-06	0.19239618799371347	0.0029916694019335305	0.19444927348336102	
2.117647058823529e-06	0.19577581746770586	0.0030090743358411253	0.19398274906492008	
2.156862745098039e-06	0.19386532841023507	0.003036411442883898	0.19358573301691576	
2.196078431372549e-06	0.1898076555389376	0.0030620339640562277	0.1932531513834162	
2.235294117647059e-06	0.1892659040201105	0.003097957995376823	0.1929716435036749	
2.274509803921569e-06	0.1903174716575967	0.0031197650824295693	0.1927222570794604	
2.3137254901960787e-06	0.19092946597005436	0.0031664902846807877	0.19248376113706878	
2.352941176470588e-06	0.19266513550715433	0.003179510625677636	0.19223601488844289	
2.3921568627450978e-06	0.19166874364359232	0.003202478336643865	0.19196287144065521	
2.431372549019608e-06	0.1912771075989612	0.0032245617092464315	0.19165421254637424	
2.4705882352941177e-06	0.1871846453242354	0.003273451104763117	0.19130687942819813	
2.5098039215686274e-06	0.1900672619418433	0.0032899912957010686	0.19092445470832933	
2.549019607843137e-06	0.19103096976263056	0.0033275758759782836	0.19051603062987932	
2.588235294117647e-06	0.18984290127693712	0.003361943033913415	0.19009424230567618	
2.6274509803921567e-06	0.18309827320433136	0.0033787205091289005	0.18967293288455678	
2.666666666666667e-06	0.18853998277409875	0.003415561748716106	0.1892648416442581	
